Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Ridgefield borough,Bergen,"Ridgefield borough, Bergen County",2017,27068281,3308081
Ridgefield borough,Bergen,"Ridgefield borough, Bergen County",2018,28254489,3514849
Ridgefield borough,Bergen,"Ridgefield borough, Bergen County",2019,26895615,3491483
Ridgefield borough,Bergen,"Ridgefield borough, Bergen County",2020,28317285,3243454
Ridgefield borough,Bergen,"Ridgefield borough, Bergen County",2021,27683570,3207985
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen County",2015,31562107,3499443
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen County",2016,31194590,3023443
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen County",2017,29753208,3193418
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen County",2018,31624649,3603644
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen County",2019,29944046,3421616
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen County",2020,31469818,3126475
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen County",2021,31228328,3326169
Ridgewood village,Bergen,"Ridgewood village, Bergen County",2015,95460830,12245081
Ridgewood village,Bergen,"Ridgewood village, Bergen County",2016,93414068,10256992
Ridgewood village,Bergen,"Ridgewood village, Bergen County",2017,89366274,10910368
Ridgewood village,Bergen,"Ridgewood village, Bergen County",2018,93949584,12244702
Ridgewood village,Bergen,"Ridgewood village, Bergen County",2019,89132152,11731614
Ridgewood village,Bergen,"Ridgewood village, Bergen County",2020,93813400,10816700
Ridgewood village,Bergen,"Ridgewood village, Bergen County",2021,94210464,11401286
Ringwood borough,Passaic,"Ringwood borough, Passaic County",2015,44408846,3903473
Ringwood borough,Passaic,"Ringwood borough, Passaic County",2016,32100754,3542829
Ringwood borough,Passaic,"Ringwood borough, Passaic County",2017,30594764,3607851
Ringwood borough,Passaic,"Ringwood borough, Passaic County",2018,45520585,4163322
Ringwood borough,Passaic,"Ringwood borough, Passaic County",2019,42019196,3982600
Ringwood borough,Passaic,"Ringwood borough, Passaic County",2020,43939646,3623028
Ringwood borough,Passaic,"Ringwood borough, Passaic County",2021,44205579,3845564
River Edge borough,Bergen,"River Edge borough, Bergen County",2015,34129677,3846733
River Edge borough,Bergen,"River Edge borough, Bergen County",2016,33877247,3473979
River Edge borough,Bergen,"River Edge borough, Bergen County",2017,31985070,3463144
River Edge borough,Bergen,"River Edge borough, Bergen County",2018,34198548,3909756
River Edge borough,Bergen,"River Edge borough, Bergen County",2019,32160829,3740877
River Edge borough,Bergen,"River Edge borough, Bergen County",2020,34268894,3424209
River Edge borough,Bergen,"River Edge borough, Bergen County",2021,33713968,3530937
River Vale township,Bergen,"River Vale township, Bergen County",2015,39010576,4589070
River Vale township,Bergen,"River Vale township, Bergen County",2016,38493205,4173970
River Vale township,Bergen,"River Vale township, Bergen County",2017,36407084,4193210
River Vale township,Bergen,"River Vale township, Bergen County",2018,38588614,4613941
River Vale township,Bergen,"River Vale township, Bergen County",2019,36393571,4548244
River Vale township,Bergen,"River Vale township, Bergen County",2020,38214780,4138810
River Vale township,Bergen,"River Vale township, Bergen County",2021,37800160,4304149
Riverdale borough,Morris,"Riverdale borough, Morris County",2015,15494189,1293902
Riverdale borough,Morris,"Riverdale borough, Morris County",2016,NDA,1132630
Riverdale borough,Morris,"Riverdale borough, Morris County",2017,NDA,1174835
Riverdale borough,Morris,"Riverdale borough, Morris County",2018,14735759,1333440
Riverdale borough,Morris,"Riverdale borough, Morris County",2019,13884861,1266232
Riverdale borough,Morris,"Riverdale borough, Morris County",2020,14010933,1163740
Riverdale borough,Morris,"Riverdale borough, Morris County",2021,14540402,1225798
Riverside township,Burlington,"Riverside township, Burlington County",2015,24432509,2051557
Riverside township,Burlington,"Riverside township, Burlington County",2016,24396663,1816296
Riverside township,Burlington,"Riverside township, Burlington County",2017,23026535,1836399
Riverside township,Burlington,"Riverside township, Burlington County",2018,24635216,2121107
Riverside township,Burlington,"Riverside township, Burlington County",2019,23727552,1988934
Riverside township,Burlington,"Riverside township, Burlington County",2020,23991786,1855478
Riverside township,Burlington,"Riverside township, Burlington County",2021,24802987,1992422
Riverton borough,Burlington,"Riverton borough, Burlington County",2015,9939451,996091
Riverton borough,Burlington,"Riverton borough, Burlington County",2016,9895866,898534
Riverton borough,Burlington,"Riverton borough, Burlington County",2017,9357936,913895
Riverton borough,Burlington,"Riverton borough, Burlington County",2018,9851939,1003021
Riverton borough,Burlington,"Riverton borough, Burlington County",2019,9529501,965607
Riverton borough,Burlington,"Riverton borough, Burlington County",2020,9852462,903082
Riverton borough,Burlington,"Riverton borough, Burlington County",2021,9921172,913364
Robbinsville township,Mercer,"Robbinsville township, Mercer County",2015,53973893,4084335
Robbinsville township,Mercer,"Robbinsville township, Mercer County",2016,38024079,3709746
Robbinsville township,Mercer,"Robbinsville township, Mercer County",2017,34702762,3781050
Robbinsville township,Mercer,"Robbinsville township, Mercer County",2018,53752880,4412525
Robbinsville township,Mercer,"Robbinsville township, Mercer County",2019,52063071,4256878
Robbinsville township,Mercer,"Robbinsville township, Mercer County",2020,55062658,3943113
Robbinsville township,Mercer,"Robbinsville township, Mercer County",2021,55295459,4170392
Rochelle Park township,Bergen,"Rochelle Park township, Bergen County",2015,17231311,1836348
Rochelle Park township,Bergen,"Rochelle Park township, Bergen County",2016,17173180,1629763
Rochelle Park township,Bergen,"Rochelle Park township, Bergen County",2017,16205900,1659356
Rochelle Park township,Bergen,"Rochelle Park township, Bergen County",2018,17265428,1879541
Rochelle Park township,Bergen,"Rochelle Park township, Bergen County",2019,16130805,1802008
Rochelle Park township,Bergen,"Rochelle Park township, Bergen County",2020,16869782,1669945
Rochelle Park township,Bergen,"Rochelle Park township, Bergen County",2021,16752674,1717497
Rockaway borough,Morris,"Rockaway borough, Morris County",2015,22027414,1611831
Rockaway borough,Morris,"Rockaway borough, Morris County",2016,NDA,1375215
Rockaway borough,Morris,"Rockaway borough, Morris County",2017,NDA,1536819
Rockaway borough,Morris,"Rockaway borough, Morris County",2018,20566144,1769360
Rockaway borough,Morris,"Rockaway borough, Morris County",2019,19812287,1689941
Rockaway borough,Morris,"Rockaway borough, Morris County",2020,20412360,1597889
Rockaway borough,Morris,"Rockaway borough, Morris County",2021,20698624,1648433
Rockaway township,Morris,"Rockaway township, Morris County",2015,95121139,3820049
Rockaway township,Morris,"Rockaway township, Morris County",2016,NDA,3417981
Rockaway township,Morris,"Rockaway township, Morris County",2017,NDA,4053738
Rockaway township,Morris,"Rockaway township, Morris County",2018,90681465,4862113
Rockaway township,Morris,"Rockaway township, Morris County",2019,88036010,4812992
Rockaway township,Morris,"Rockaway township, Morris County",2020,91877573,4596700
Rockaway township,Morris,"Rockaway township, Morris County",2021,92956865,4937719
Rockleigh borough,Bergen,"Rockleigh borough, Bergen County",2015,1756526,211922
Rockleigh borough,Bergen,"Rockleigh borough, Bergen County",2016,1810920,183404
Rockleigh borough,Bergen,"Rockleigh borough, Bergen County",2017,1790134,202051
Rockleigh borough,Bergen,"Rockleigh borough, Bergen County",2018,1922665,235148
Rockleigh borough,Bergen,"Rockleigh borough, Bergen County",2019,1845116,220285
Rockleigh borough,Bergen,"Rockleigh borough, Bergen County",2020,1865364,205588
Rockleigh borough,Bergen,"Rockleigh borough, Bergen County",2021,1882777,216836
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset County",2015,2781760,237641
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset County",2016,2683680,204926
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset County",2017,2666316,229723
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset County",2018,2750620,256439
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset County",2019,2644925,237726
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset County",2020,2750116,223742
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset County",2021,2791200,236064
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth County",2015,3067242,320258
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth County",2016,NDA,284587
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth County",2017,NDA,297030
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth County",2018,3295458,335841
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth County",2019,2918723,319067
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth County",2020,2900751,294682
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth County",2021,3096799,310392
Roseland borough,Essex,"Roseland borough, Essex County",2015,24302491,2690989
Roseland borough,Essex,"Roseland borough, Essex County",2016,24337891,2436441
Roseland borough,Essex,"Roseland borough, Essex County",2017,23234184,2572957
Roseland borough,Essex,"Roseland borough, Essex County",2018,24117151,2671950
Roseland borough,Essex,"Roseland borough, Essex County",2019,22927049,2644040
Roseland borough,Essex,"Roseland borough, Essex County",2020,23859373,2447791
Roseland borough,Essex,"Roseland borough, Essex County",2021,23535816,2462987
Roselle borough,Union,"Roselle borough, Union County",2015,47221571,4862132
Roselle borough,Union,"Roselle borough, Union County",2016,46842608,5043428
Roselle borough,Union,"Roselle borough, Union County",2017,44768610,5317775
Roselle borough,Union,"Roselle borough, Union County",2018,49676359,6138960
Roselle borough,Union,"Roselle borough, Union County",2019,48002480,5818658
Roselle borough,Union,"Roselle borough, Union County",2020,51226101,8226643
Roselle borough,Union,"Roselle borough, Union County",2021,52352502,11483459
Roselle Park borough,Union,"Roselle Park borough, Union County",2015,32173304,2869191
Roselle Park borough,Union,"Roselle Park borough, Union County",2016,31939212,2951317
Roselle Park borough,Union,"Roselle Park borough, Union County",2017,31298575,3226414
Roselle Park borough,Union,"Roselle Park borough, Union County",2018,31836618,3643191
Roselle Park borough,Union,"Roselle Park borough, Union County",2019,30743023,3504860
Roselle Park borough,Union,"Roselle Park borough, Union County",2020,33125752,4689368
Roselle Park borough,Union,"Roselle Park borough, Union County",2021,33330017,6714817
Roxbury township,Morris,"Roxbury township, Morris County",2015,82444107,5339503
Roxbury township,Morris,"Roxbury township, Morris County",2016,NDA,5037604
Roxbury township,Morris,"Roxbury township, Morris County",2017,NDA,5232990
Roxbury township,Morris,"Roxbury township, Morris County",2018,80895499,5913192
Roxbury township,Morris,"Roxbury township, Morris County",2019,78510113,5762486
Roxbury township,Morris,"Roxbury township, Morris County",2020,82134377,5443819
Roxbury township,Morris,"Roxbury township, Morris County",2021,83133555,5671670
Rumson borough,Monmouth,"Rumson borough, Monmouth County",2015,47699418,4429159
Rumson borough,Monmouth,"Rumson borough, Monmouth County",2016,NDA,4128726
Rumson borough,Monmouth,"Rumson borough, Monmouth County",2017,NDA,4160800
Rumson borough,Monmouth,"Rumson borough, Monmouth County",2018,48734052,4705375
Rumson borough,Monmouth,"Rumson borough, Monmouth County",2019,47805257,4517242
Rumson borough,Monmouth,"Rumson borough, Monmouth County",2020,48533491,4388571
Rumson borough,Monmouth,"Rumson borough, Monmouth County",2021,50531988,4399849
Runnemede borough,Camden,"Runnemede borough, Camden County",2015,27782488,1959772
Runnemede borough,Camden,"Runnemede borough, Camden County",2016,27681076,1626300
Runnemede borough,Camden,"Runnemede borough, Camden County",2017,25619401,1652568
Runnemede borough,Camden,"Runnemede borough, Camden County",2018,26995836,1980648
Runnemede borough,Camden,"Runnemede borough, Camden County",2019,26300100,1858110
Runnemede borough,Camden,"Runnemede borough, Camden County",2020,26815071,1705159
Runnemede borough,Camden,"Runnemede borough, Camden County",2021,26945080,1791157
Rutherford borough,Bergen,"Rutherford borough, Bergen County",2015,52236840,6057427
Rutherford borough,Bergen,"Rutherford borough, Bergen County",2016,51970893,5017169
Rutherford borough,Bergen,"Rutherford borough, Bergen County",2017,49613738,5352861
Rutherford borough,Bergen,"Rutherford borough, Bergen County",2018,52326724,6112403
Rutherford borough,Bergen,"Rutherford borough, Bergen County",2019,49723489,5867884
Rutherford borough,Bergen,"Rutherford borough, Bergen County",2020,51566894,5257782
Rutherford borough,Bergen,"Rutherford borough, Bergen County",2021,51796989,5566038
Saddle Brook township,Bergen,"Saddle Brook township, Bergen County",2015,44115625,4599763
Saddle Brook township,Bergen,"Saddle Brook township, Bergen County",2016,43575152,4035815
Saddle Brook township,Bergen,"Saddle Brook township, Bergen County",2017,41028799,4087053
Saddle Brook township,Bergen,"Saddle Brook township, Bergen County",2018,43601820,4653119
Saddle Brook township,Bergen,"Saddle Brook township, Bergen County",2019,41197045,4426832
Saddle Brook township,Bergen,"Saddle Brook township, Bergen County",2020,43285441,4116403
Saddle Brook township,Bergen,"Saddle Brook township, Bergen County",2021,42665124,4244824
Saddle River borough,Bergen,"Saddle River borough, Bergen County",2015,39649416,4420421
Saddle River borough,Bergen,"Saddle River borough, Bergen County",2016,38796518,3694450
Saddle River borough,Bergen,"Saddle River borough, Bergen County",2017,36792771,4012348
Saddle River borough,Bergen,"Saddle River borough, Bergen County",2018,37883771,4412093
Saddle River borough,Bergen,"Saddle River borough, Bergen County",2019,36687437,4249408
Saddle River borough,Bergen,"Saddle River borough, Bergen County",2020,37321345,4070186
Saddle River borough,Bergen,"Saddle River borough, Bergen County",2021,37515679,4172347
Salem city,Salem,"Salem city, Salem County",2015,36152681,771951
Salem city,Salem,"Salem city, Salem County",2016,33013563,651317
Salem city,Salem,"Salem city, Salem County",2017,31123240,679803
Salem city,Salem,"Salem city, Salem County",2018,32804771,780981
Salem city,Salem,"Salem city, Salem County",2019,31566678,701260
Salem city,Salem,"Salem city, Salem County",2020,32043609,687532
Salem city,Salem,"Salem city, Salem County",2021,32346602,774690
Sandyston township,Sussex,"Sandyston township, Sussex County",2015,9471822,NDA
Sandyston township,Sussex,"Sandyston township, Sussex County",2016,NDA,NDA
Sandyston township,Sussex,"Sandyston township, Sussex County",2017,NDA,NDA
Sandyston township,Sussex,"Sandyston township, Sussex County",2018,10333302,NDA
Sandyston township,Sussex,"Sandyston township, Sussex County",2019,9523676,NDA
Sandyston township,Sussex,"Sandyston township, Sussex County",2020,9416742,NDA
Sandyston township,Sussex,"Sandyston township, Sussex County",2021,9825814,NDA
Sayreville borough,Middlesex,"Sayreville borough, Middlesex County",2015,127721881,13574822
Sayreville borough,Middlesex,"Sayreville borough, Middlesex County",2016,20333,11373179
Sayreville borough,Middlesex,"Sayreville borough, Middlesex County",2017,4174,12167847
Sayreville borough,Middlesex,"Sayreville borough, Middlesex County",2018,125937190,13699247
Sayreville borough,Middlesex,"Sayreville borough, Middlesex County",2019,121425151,12802002
Sayreville borough,Middlesex,"Sayreville borough, Middlesex County",2020,124241974,11732720
Sayreville borough,Middlesex,"Sayreville borough, Middlesex County",2021,127389616,12626706
Scotch Plains township,Union,"Scotch Plains township, Union County",2015,88970604,7564091
Scotch Plains township,Union,"Scotch Plains township, Union County",2016,88181602,7681769
Scotch Plains township,Union,"Scotch Plains township, Union County",2017,84962608,8246354
Scotch Plains township,Union,"Scotch Plains township, Union County",2018,87907918,9355837
Scotch Plains township,Union,"Scotch Plains township, Union County",2019,84254599,8971557
Scotch Plains township,Union,"Scotch Plains township, Union County",2020,87637947,12046896
Scotch Plains township,Union,"Scotch Plains township, Union County",2021,87396719,17092513
Sea Bright borough,Monmouth,"Sea Bright borough, Monmouth County",2015,8355655,581915
Sea Bright borough,Monmouth,"Sea Bright borough, Monmouth County",2016,NDA,509972
Sea Bright borough,Monmouth,"Sea Bright borough, Monmouth County",2017,NDA,564142
Sea Bright borough,Monmouth,"Sea Bright borough, Monmouth County",2018,9255008,660157
Sea Bright borough,Monmouth,"Sea Bright borough, Monmouth County",2019,9052879,614422
Sea Bright borough,Monmouth,"Sea Bright borough, Monmouth County",2020,9373863,569232
Sea Bright borough,Monmouth,"Sea Bright borough, Monmouth County",2021,9716063,605079
Sea Girt borough,Monmouth,"Sea Girt borough, Monmouth County",2015,15476446,1514300
Sea Girt borough,Monmouth,"Sea Girt borough, Monmouth County",2016,NDA,1246300
Sea Girt borough,Monmouth,"Sea Girt borough, Monmouth County",2017,NDA,1329031
Sea Girt borough,Monmouth,"Sea Girt borough, Monmouth County",2018,15868702,1523559
Sea Girt borough,Monmouth,"Sea Girt borough, Monmouth County",2019,15533208,1476113
Sea Girt borough,Monmouth,"Sea Girt borough, Monmouth County",2020,16691498,1398938
Sea Girt borough,Monmouth,"Sea Girt borough, Monmouth County",2021,16684506,1499849
Sea Isle City city,Cape May,"Sea Isle City city, Cape May County",2015,46252050,2300482
Sea Isle City city,Cape May,"Sea Isle City city, Cape May County",2016,45250974,1783035
Sea Isle City city,Cape May,"Sea Isle City city, Cape May County",2017,41684988,1839187
Sea Isle City city,Cape May,"Sea Isle City city, Cape May County",2018,47067524,2370355
Sea Isle City city,Cape May,"Sea Isle City city, Cape May County",2019,45516945,2082422
Sea Isle City city,Cape May,"Sea Isle City city, Cape May County",2020,47245628,1883280
Sea Isle City city,Cape May,"Sea Isle City city, Cape May County",2021,47919491,2201850
Seaside Heights borough,Ocean,"Seaside Heights borough, Ocean County",2015,125042,860052
Seaside Heights borough,Ocean,"Seaside Heights borough, Ocean County",2016,NDA,731872
Seaside Heights borough,Ocean,"Seaside Heights borough, Ocean County",2017,NDA,784223
Seaside Heights borough,Ocean,"Seaside Heights borough, Ocean County",2018,57570,988417
Seaside Heights borough,Ocean,"Seaside Heights borough, Ocean County",2019,89736,908217
Seaside Heights borough,Ocean,"Seaside Heights borough, Ocean County",2020,146501,813886
Seaside Heights borough,Ocean,"Seaside Heights borough, Ocean County",2021,176163,914434
Seaside Park borough,Ocean,"Seaside Park borough, Ocean County",2015,13080688,1491440
Seaside Park borough,Ocean,"Seaside Park borough, Ocean County",2016,NDA,942322
Seaside Park borough,Ocean,"Seaside Park borough, Ocean County",2017,NDA,989138
Seaside Park borough,Ocean,"Seaside Park borough, Ocean County",2018,14160214,1237437
Seaside Park borough,Ocean,"Seaside Park borough, Ocean County",2019,13864878,1119627
Seaside Park borough,Ocean,"Seaside Park borough, Ocean County",2020,14681793,1022601
Seaside Park borough,Ocean,"Seaside Park borough, Ocean County",2021,14918110,1136283
Secaucus town,Hudson,"Secaucus town, Hudson County",2015,55102702,4647814
Secaucus town,Hudson,"Secaucus town, Hudson County",2016,57881927,4223291
Secaucus town,Hudson,"Secaucus town, Hudson County",2017,57775665,4437824
Secaucus town,Hudson,"Secaucus town, Hudson County",2018,58549823,4850371
Secaucus town,Hudson,"Secaucus town, Hudson County",2019,55475776,4819922
Secaucus town,Hudson,"Secaucus town, Hudson County",2020,57984167,4468146
Secaucus town,Hudson,"Secaucus town, Hudson County",2021,56948903,4503555
Shamong township,Burlington,"Shamong township, Burlington County",2015,33360876,1445885
Shamong township,Burlington,"Shamong township, Burlington County",2016,33073338,1301002
Shamong township,Burlington,"Shamong township, Burlington County",2017,31494434,1373779
Shamong township,Burlington,"Shamong township, Burlington County",2018,28476579,1467019
Shamong township,Burlington,"Shamong township, Burlington County",2019,28405801,1489702
Shamong township,Burlington,"Shamong township, Burlington County",2020,30340001,1356567
Shamong township,Burlington,"Shamong township, Burlington County",2021,31596479,1514275
Shiloh borough,Cumberland,"Shiloh borough, Cumberland County",2015,2454142,43579
Shiloh borough,Cumberland,"Shiloh borough, Cumberland County",2016,2250389,40173
Shiloh borough,Cumberland,"Shiloh borough, Cumberland County",2017,2094994,41561
Shiloh borough,Cumberland,"Shiloh borough, Cumberland County",2018,2043239,52240
Shiloh borough,Cumberland,"Shiloh borough, Cumberland County",2019,1965990,52260
Shiloh borough,Cumberland,"Shiloh borough, Cumberland County",2020,2157672,51395
Shiloh borough,Cumberland,"Shiloh borough, Cumberland County",2021,2119346,55010
Ship Bottom borough,Ocean,"Ship Bottom borough, Ocean County",2015,11931760,707963
Ship Bottom borough,Ocean,"Ship Bottom borough, Ocean County",2016,11866059,642018
Ship Bottom borough,Ocean,"Ship Bottom borough, Ocean County",2017,11366206,672715
Ship Bottom borough,Ocean,"Ship Bottom borough, Ocean County",2018,12918820,836705
Ship Bottom borough,Ocean,"Ship Bottom borough, Ocean County",2019,12579060,756892
Ship Bottom borough,Ocean,"Ship Bottom borough, Ocean County",2020,13191567,645499
Ship Bottom borough,Ocean,"Ship Bottom borough, Ocean County",2021,13457469,750168
Shrewsbury borough,Monmouth,"Shrewsbury borough, Monmouth County",2015,18222296,1614118
Shrewsbury borough,Monmouth,"Shrewsbury borough, Monmouth County",2016,NDA,1479948
Shrewsbury borough,Monmouth,"Shrewsbury borough, Monmouth County",2017,NDA,1491027
Shrewsbury borough,Monmouth,"Shrewsbury borough, Monmouth County",2018,17053881,1678749
Shrewsbury borough,Monmouth,"Shrewsbury borough, Monmouth County",2019,16439121,1593230
Shrewsbury borough,Monmouth,"Shrewsbury borough, Monmouth County",2020,16836580,1490275
Shrewsbury borough,Monmouth,"Shrewsbury borough, Monmouth County",2021,17056598,1564119
Shrewsbury township,Monmouth,"Shrewsbury township, Monmouth County",2015,1566909,168304
Shrewsbury township,Monmouth,"Shrewsbury township, Monmouth County",2016,NDA,164151
Shrewsbury township,Monmouth,"Shrewsbury township, Monmouth County",2017,NDA,163778
Shrewsbury township,Monmouth,"Shrewsbury township, Monmouth County",2018,1466999,187625
Shrewsbury township,Monmouth,"Shrewsbury township, Monmouth County",2019,1418684,176452
Shrewsbury township,Monmouth,"Shrewsbury township, Monmouth County",2020,1418807,161396
Shrewsbury township,Monmouth,"Shrewsbury township, Monmouth County",2021,1559411,174700
Somerdale borough,Camden,"Somerdale borough, Camden County",2015,17842678,1685269
Somerdale borough,Camden,"Somerdale borough, Camden County",2016,17886026,1396228
Somerdale borough,Camden,"Somerdale borough, Camden County",2017,16707167,1400593
Somerdale borough,Camden,"Somerdale borough, Camden County",2018,17435348,1687424
Somerdale borough,Camden,"Somerdale borough, Camden County",2019,16737489,1556235
Somerdale borough,Camden,"Somerdale borough, Camden County",2020,17008580,1444644
Somerdale borough,Camden,"Somerdale borough, Camden County",2021,17428826,1538494
Somers Point city,Atlantic,"Somers Point city, Atlantic County",2015,36060301,2500743
Somers Point city,Atlantic,"Somers Point city, Atlantic County",2016,37273232,2404620
Somers Point city,Atlantic,"Somers Point city, Atlantic County",2017,34164856,2386451
Somers Point city,Atlantic,"Somers Point city, Atlantic County",2018,33278771,2396378
Somers Point city,Atlantic,"Somers Point city, Atlantic County",2019,34537749,2597928
Somers Point city,Atlantic,"Somers Point city, Atlantic County",2020,33268266,2139461
Somers Point city,Atlantic,"Somers Point city, Atlantic County",2021,35768980,2596499
Somerville borough,Somerset,"Somerville borough, Somerset County",2015,31203742,3046851
Somerville borough,Somerset,"Somerville borough, Somerset County",2016,31200868,2784865
Somerville borough,Somerset,"Somerville borough, Somerset County",2017,29818760,2779990
Somerville borough,Somerset,"Somerville borough, Somerset County",2018,32629670,3188149
Somerville borough,Somerset,"Somerville borough, Somerset County",2019,31798627,3018832
Somerville borough,Somerset,"Somerville borough, Somerset County",2020,33595776,2751235
Somerville borough,Somerset,"Somerville borough, Somerset County",2021,34401155,2900721
South Amboy city,Middlesex,"South Amboy city, Middlesex County",2015,35016928,2741869
South Amboy city,Middlesex,"South Amboy city, Middlesex County",2016,NDA,2562852
South Amboy city,Middlesex,"South Amboy city, Middlesex County",2017,NDA,2744408
South Amboy city,Middlesex,"South Amboy city, Middlesex County",2018,35363443,2915166
South Amboy city,Middlesex,"South Amboy city, Middlesex County",2019,34565180,2869385
South Amboy city,Middlesex,"South Amboy city, Middlesex County",2020,35751401,2587518
South Amboy city,Middlesex,"South Amboy city, Middlesex County",2021,37105486,2748630
South Bound Brook borough,Somerset,"South Bound Brook borough, Somerset County",2015,13990469,1206453
South Bound Brook borough,Somerset,"South Bound Brook borough, Somerset County",2016,13486699,1029642
South Bound Brook borough,Somerset,"South Bound Brook borough, Somerset County",2017,12966842,1098907
South Bound Brook borough,Somerset,"South Bound Brook borough, Somerset County",2018,14166311,1283487
South Bound Brook borough,Somerset,"South Bound Brook borough, Somerset County",2019,13342594,1196463
South Bound Brook borough,Somerset,"South Bound Brook borough, Somerset County",2020,13656303,1051524
South Bound Brook borough,Somerset,"South Bound Brook borough, Somerset County",2021,13873408,1120422
South Brunswick township,Middlesex,"South Brunswick township, Middlesex County",2015,134965724,14030163
South Brunswick township,Middlesex,"South Brunswick township, Middlesex County",2016,133291479,12674555
South Brunswick township,Middlesex,"South Brunswick township, Middlesex County",2017,129518605,13243030
South Brunswick township,Middlesex,"South Brunswick township, Middlesex County",2018,136415518,15131189
South Brunswick township,Middlesex,"South Brunswick township, Middlesex County",2019,127665531,14160758
South Brunswick township,Middlesex,"South Brunswick township, Middlesex County",2020,133067479,13119957
South Brunswick township,Middlesex,"South Brunswick township, Middlesex County",2021,132107701,13631248
South Hackensack township,Bergen,"South Hackensack township, Bergen County",2015,6682517,753325
South Hackensack township,Bergen,"South Hackensack township, Bergen County",2016,6738114,617461
South Hackensack township,Bergen,"South Hackensack township, Bergen County",2017,6826382,650305
South Hackensack township,Bergen,"South Hackensack township, Bergen County",2018,6622487,735451
South Hackensack township,Bergen,"South Hackensack township, Bergen County",2019,5948476,704695
South Hackensack township,Bergen,"South Hackensack township, Bergen County",2020,6155223,646820
South Hackensack township,Bergen,"South Hackensack township, Bergen County",2021,6077099,687662
South Harrison township,Gloucester,"South Harrison township, Gloucester County",2015,3086576,30720
South Harrison township,Gloucester,"South Harrison township, Gloucester County",2016,3022007,55594
South Harrison township,Gloucester,"South Harrison township, Gloucester County",2017,2784271,83371
South Harrison township,Gloucester,"South Harrison township, Gloucester County",2018,2809730,123902
South Harrison township,Gloucester,"South Harrison township, Gloucester County",2019,2742508,152617
South Harrison township,Gloucester,"South Harrison township, Gloucester County",2020,2710906,163287
South Harrison township,Gloucester,"South Harrison township, Gloucester County",2021,2788671,201151
South Orange Village township,Essex,"South Orange Village township, Essex County",2015,54464128,7414168
South Orange Village township,Essex,"South Orange Village township, Essex County",2016,54361066,6804052
South Orange Village township,Essex,"South Orange Village township, Essex County",2017,52731613,7020960
South Orange Village township,Essex,"South Orange Village township, Essex County",2018,55277387,7448888
South Orange Village township,Essex,"South Orange Village township, Essex County",2019,50708094,6670995
South Orange Village township,Essex,"South Orange Village township, Essex County",2020,56235943,6814228
South Orange Village township,Essex,"South Orange Village township, Essex County",2021,56272682,6981044
South Plainfield borough,Middlesex,"South Plainfield borough, Middlesex County",2015,69413893,6982497
South Plainfield borough,Middlesex,"South Plainfield borough, Middlesex County",2016,68872182,6283443
South Plainfield borough,Middlesex,"South Plainfield borough, Middlesex County",2017,65571245,6170439
South Plainfield borough,Middlesex,"South Plainfield borough, Middlesex County",2018,69578351,7278537
South Plainfield borough,Middlesex,"South Plainfield borough, Middlesex County",2019,66053278,6801252
South Plainfield borough,Middlesex,"South Plainfield borough, Middlesex County",2020,68510058,6307524
South Plainfield borough,Middlesex,"South Plainfield borough, Middlesex County",2021,69158057,6709890
South River borough,Middlesex,"South River borough, Middlesex County",2015,NDA,4708489
South River borough,Middlesex,"South River borough, Middlesex County",2016,NDA,4269208
South River borough,Middlesex,"South River borough, Middlesex County",2017,NDA,4345983
South River borough,Middlesex,"South River borough, Middlesex County",2018,NDA,4890555
South River borough,Middlesex,"South River borough, Middlesex County",2019,NDA,4576483
South River borough,Middlesex,"South River borough, Middlesex County",2020,NDA,4281189
South River borough,Middlesex,"South River borough, Middlesex County",2021,NDA,4384801
South Toms River borough,Ocean,"South Toms River borough, Ocean County",2015,60205929,830233
South Toms River borough,Ocean,"South Toms River borough, Ocean County",2016,NDA,731675
South Toms River borough,Ocean,"South Toms River borough, Ocean County",2017,NDA,818974
South Toms River borough,Ocean,"South Toms River borough, Ocean County",2018,9930528,810581
South Toms River borough,Ocean,"South Toms River borough, Ocean County",2019,9706518,810226
